,Algorithm,Problem Size,Time mean,Time standard deviation,States mean,States standard deviation,Success rate
0,HC,4,0.0004519939422607422,0.00011717805290389495,36.0,0.0,1.0
1,HC,8,0.008402291933695476,0.00165429412093773,233.33333333333334,20.86996778999804,0.0
2,HC,10,0.02509767214457194,0.005345097053476423,459.0,74.75961476626267,0.13333333333333333
3,SA,4,0.04223729769388835,0.020807029215152102,1000.0,0.0,0.5333333333333333
4,SA,8,0.07271731694539388,0.016529054894755774,1000.0,0.0,0.03333333333333333
5,SA,10,0.1014612595240275,0.0018800311075581702,1000.0,0.0,0.03333333333333333
6,GA,4,0.06176398595174153,0.1075416606522255,21.8,40.023659669417206,1.0
7,GA,8,8.885243519147236,3.0595049551219358,871.9,266.80021864059006,0.26666666666666666
8,GA,10,18.508579675356547,2.6600318978694184,1000.0,0.0,0.0
